CPU part ID,brand name,core count,core clock
393,AMD Athlon X2 3900,4,3.0GHz
899,Intel Core i3 11700,8,4.4GHz
62,Intel Pentium Gold 12500,4,3.2GHz
595,AMD Athlon II X3 14000,4,4.0GHz
403,AMD Phenom II X3 12500,4,1.5GHz
170,AMD Opteron 6700,2,3.5GHz
106,AMD Phenom II X2 7500,2,1.6GHz
218,Intel Core 2 Duo 7300,2,2.4GHz
621,AMD Phenom II X3 12000,8,2.1GHz
437,Intel Pentium Gold 11300,64,4.1GHz
952,Intel Core i7 Extreme 12900,64,3.8GHz
265,Intel Xeon E5 3100,64,2.6GHz
192,Intel Pentium 7000,2,3.9GHz
108,Intel Core i5 1200,16,3.4GHz
657,AMD Ryzen 9 10000,8,2.6GHz
68,AMD Athlon X2 5500,8,3.0GHz
614,Intel Xeon E3 2500,8,2.5GHz
806,AMD Opteron 12900,4,2.6GHz
174,Intel Xeon E 10400,32,3.5GHz
774,AMD Sempron 2600,2,3.9GHz
821,AMD A4 9800,2,1.6GHz
316,Intel Core 2 Quad 8800,2,3.7GHz
661,AMD E2-Series 9600,64,3.8GHz
487,AMD A12 9700,8,2.9GHz
55,Intel Pentium Gold 11900,32,4.1GHz
